Experiment ID,Drug,Bin [1 sec],Distance_moved [mm],Velocity [mm/s],Moving [s],Not_Moving [s]
0,Bemcentinib_1A04,0:39:00-0:40:00,9.80130011111111,0.1633547877777778,1.488888888888889,58.51111111111111
0,Bemcentinib_1A04,0:40:00-0:41:00,59.568436666666656,0.9941344000000001,11.093333333333334,48.906666666666666
0,Bemcentinib_1A04,0:41:00-0:42:00,83.3968,1.3899494333333333,18.26222222222222,41.73777777777778
0,Bemcentinib_1A04,0:42:00-0:43:00,111.31534444444445,1.8552544444444443,23.702222222222222,36.29777777777778
0,Bemcentinib_1A04,0:43:00-0:44:00,100.26131111111111,1.6732554444444443,22.84888888888889,37.15111111111111
0,Bemcentinib_1A04,0:44:00-0:45:00,102.75647777777777,1.7126083333333333,21.573333333333334,38.42666666666666
0,Bemcentinib_1A04,0:45:00-0:46:00,98.37824444444443,1.6418249999999999,22.337777777777777,37.66222222222222
0,Bemcentinib_1A04,0:46:00-0:47:00,103.601,1.7266826666666666,23.466666666666665,36.53333333333333
0,Bemcentinib_1A04,0:47:00-0:48:00,89.44215555555556,1.4907024444444443,19.84888888888889,40.15111111111111
0,Bemcentinib_1A04,0:48:00-0:49:00,75.11795555555555,1.2536364444444446,16.21777777777778,43.782222222222224
0,Bemcentinib_1A04,0:49:00-0:50:00,69.93851111111111,1.1656426666666666,15.262222222222224,44.73777777777778
0,Bemcentinib_1A04,0:50:00-0:51:00,19.053664444444443,0.31756100000000004,3.6044444444444443,56.39555555555555
0,Bemcentinib_1A04,0:51:00-0:52:00,9.303202222222222,0.15546803666666664,1.6488888888888888,58.35111111111111
0,Bemcentinib_1A04,0:52:00-0:53:00,10.150999555555554,0.16918323,1.5377777777777777,58.462222222222216
0,Bemcentinib_1A04,0:53:00-0:54:00,13.62159188888889,0.22702667888888886,2.3555555555555556,57.64444444444444
0,Bemcentinib_1A04,0:54:00-0:55:00,12.256777444444445,0.20455230000000002,2.368888888888889,57.63111111111112
0,Bemcentinib_1A04,0:55:00-0:56:00,14.824402777777777,0.24707315555555553,3.102222222222222,56.89777777777778
0,Bemcentinib_1A04,0:56:00-0:57:00,11.024675555555554,0.18374453333333332,1.7955555555555556,58.20444444444445
0,Bemcentinib_1A04,0:57:00-0:58:00,13.863515777777778,0.23136670666666667,2.8133333333333335,57.18666666666666
0,Bemcentinib_1A04,0:58:00-0:59:00,15.635284555555554,0.26058854666666664,2.9066666666666667,57.093333333333334
0,Bemcentinib_1A04,0:59:00-1:00:00,16.08915111111111,0.2685095777777778,2.8444444444444446,57.15555555555555
